8¨8-=-Film,Year,Header
Seven Samurai,(1954),"<h2><a href=""https://www.rottentomatoes.com/m/seven_samurai_1956"">Seven Samurai</a> <span class=""subtle start-year"">(1954)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">100%</span></h2>"
Singin' in the Rain,(1952),"<h2><a href=""https://www.rottentomatoes.com/m/singin_in_the_rain"">Singin' in the Rain</a> <span class=""subtle start-year"">(1952)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">100%</span></h2>"
12 Angry Men,(1957),"<h2><a href=""https://www.rottentomatoes.com/m/1000013_12_angry_men"">12 Angry Men</a> <span class=""subtle start-year"">(1957)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">100%</span></h2>"
Cool Hand Luke,(1967),"<h2><a href=""https://www.rottentomatoes.com/m/cool_hand_luke"">Cool Hand Luke</a> <span class=""subtle start-year"">(1967)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">100%</span></h2>"
Anatomy of a Murder,(1959),"<h2><a href=""https://www.rottentomatoes.com/m/anatomy-of-a-murder"">Anatomy of a Murder</a> <span class=""subtle start-year"">(1959)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">100%</span></h2>"
Tokyo Story,(1953),"<h2><a href=""https://www.rottentomatoes.com/m/tokyo_story"">Tokyo Story</a> <span class=""subtle start-year"">(1953)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">100%</span></h2>"
The Wages of Fear,(1953),"<h2><a href=""https://www.rottentomatoes.com/m/wages_of_fear"">The Wages of Fear</a> <span class=""subtle start-year"">(1953)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">100%</span></h2>"
All About Eve,(1950),"<h2><a href=""https://www.rottentomatoes.com/m/1000626-all_about_eve"">All About Eve</a> <span class=""subtle start-year"">(1950)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">99%</span></h2>"
On the Waterfront,(1954),"<h2><a href=""https://www.rottentomatoes.com/m/on_the_waterfront"">On the Waterfront</a> <span class=""subtle start-year"">(1954)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">99%</span></h2>"
The Battle of Algiers,(1966),"<h2><a href=""https://www.rottentomatoes.com/m/the_battle_of_algiers"">The Battle of Algiers</a> <span class=""subtle start-year"">(1966)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">99%</span></h2>"
007: Goldfinger,(1964),"<h2><a href=""https://www.rottentomatoes.com/m/goldfinger"">007: Goldfinger</a> <span class=""subtle start-year"">(1964)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">99%</span></h2>"
The 400 Blows,(1959),"<h2><a href=""https://www.rottentomatoes.com/m/400_blows"">The 400 Blows</a> <span class=""subtle start-year"">(1959)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">99%</span></h2>"
Rear Window,(1954),"<h2><a href=""https://www.rottentomatoes.com/m/1017289-rear_window"">Rear Window</a> <span class=""subtle start-year"">(1954)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
A Hard Day's Night,(1964),"<h2><a href=""https://www.rottentomatoes.com/m/beatles_a_hard_days_night"">A Hard Day's Night</a> <span class=""subtle start-year"">(1964)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
